context,answer
"Yeah, well people pay attention when you do that. ","Yeah. It’s pretty interesting what my most ... What people are most interested in, like some little tweet about “I love anime.” That was it. But it was lowercase “i”, black heart, “anime,” and people loved that. That was like one of my most popular tweets. "
What about the things they didn’t love? Are you under strict orders not to do that? Is that correct? Will you be? Will you have to change your Twitter behavior?,Not really. 
Not really. ,"Under the recent settlement, you don’t have to be careful about what you tweet? If it’s anime, that’s one thing."
"Under the recent settlement, you don’t have to be careful about what you tweet? If it’s anime, that’s one thing.",Mm-hmm.
But if it’s just business you can’t.,"No, I think it’s mostly just if it’s something that might cause a substantial movement in the stock during trading hours. That’s about it. "
That’s about it. So you can’t do that.,"Without somebody getting mad, no. "
"That’s a lot of people getting mad. Would you consider it ... I’m gonna get off it in a second, but do you consider it a communications medium? How do you look at it? A lot of us use it that way. I use it that way. Obviously, Donald Trump uses it that way. How do you look at it?","I look at it as a way to learn things, kinda stay in touch with what’s happening. It feels like dipping into the flow of consciousness of society. That’s what it feels like. It’s kinda weird. I guess I sometimes use Twitter to express myself, and that’s a weird thing to do, I suppose. "
"Not so much. It isn’t. Sometimes it’s very funny, other times it’s not so funny.",Some people use their hair to express themselves; I use Twitter. 
"All right. But when you do it in ... I’m not going to get to the SEC ‘cause I understand you can’t talk about that very much. Nothing to do with that. Although you did tweak them in one of your tweets, but at some point that will stop. Correct?",What did I say?
"You made some remark. Elon, there’s so many tweets that you do that are so obnoxious, it’s hard to know. That was an obnoxious tweet.",It was?
"Yes, it was.",Oh. 
Don’t do that. ,I was just ... I forgot which one it was.
"Yeah, but —",Can you remind me?
"No. It’s like you had some name ... Look it, you’re cackling on Halloween! ",Picking fights with the press
"But the ones that I think I do want to ask about is the press. You pick fights with the press over Twitter, and then you have all your fans, of which there are many. Are you aware of what they do once you start them off?","Well, I have to say, my regard for the press has dropped quite dramatically."
"Explain that, please.","The amount of untruthful stuff that is written is unbelievable. Take that Wall Street Journal front-page article about like, “The FBI is closing in.” That is utterly false. That’s absurd. To print such a falsehood on the front page of a major newspaper is outrageous. Like, why are they even journalists?  "
Do you understand —,They’re terrible. 
Do you hear — understand the mood in this country ...,Terrible people.
"I get that, but do you understand the mood in this country around the press and the dangers of attacking, especially when the president is doing that? In quite an aggressive, “enemy of the state” and everything else. It’s disturbing when someone like you as a leader does that, too, or goes along with it.","The answer is for the press to be honest and truthful, and research their articles and correct things properly when they are false. Which they don’t do. "
Okay. But I’m asking if you understand where it goes to.,"Yes, of course I do."
What do you think of that? Are you worried about unleashing a dangerous cycle that a lot of the press are worried about? Justifiably. ,I suggest the press take it to heart and do better. 
"What about what Donald Trump does, about “enemy of the people”? Do you look at it that way?",No. 
Just that you don’t like falsehoods.,"Yeah. There are good journalists and there are bad ones, and unfortunately the feedback loop for good versus bad is inverted, so the more salacious that an article is, the more salacious the headline is, the more clicks it’s gonna get. Then somebody is not a journalist, they are an ad salesman. Not a journalist, an ad salesman. "
What about things that are just critical of you that you don’t like? Do you think you’re particularly sensitive? ,"No. Of course not. Count how many negative articles there are and how many I respond to. One percent, maybe. But the common rebuttal of journalists is, “Oh. My article’s fine. He’s just thin-skinned.” No, your article is false and you don’t want to admit it. "
Do you take criticism to heart correctly?,Yes.
Give me an example of something if you could.,How do you think rockets get to orbit?
That’s a fair point.,"Not easily. Physics is very demanding. If you get it wrong, the rocket will blow up. Cars are very demanding. If you get it wrong, a car won’t work. Truth in engineering and science is extremely important. "
Right. And therefore?,I have a strong interest in the truth. 
All right. And you are —,Much more than journalists do. 
"What I’m trying to get to is, do you want to acknowledge when you do this it does set off ... People beyond you that listen to you, you have a fan base that’s quite rabid, I would say.","No, I wouldn’t say that. "
No? ,I think they’re great. 
All of them?,"No, not all of them. "
Right. Okay. ,The “excruciating” year of 2018
"Let’s talk about this year. What has gone on this year with you? It’s a very roller-coaster year. How would you explain it? You did a very emotional interview in the New York Times, and I promise we’ll get to Tesla and all the other things we want to talk about, but what has happened to you this year? How would you put it?",It’s been a very difficult year. 
Why is that? ,"We had the Model 3 production ramp, which was excruciatingly difficult. It is incredibly difficult to survive as a car company. Incredibly difficult. People have no idea how much pain people at Tesla went through, including myself. It was excruciating. "
And?,Excruciating.
And talk about that toll.,"Pretty sure I burnt out a bunch of neurons during this process. Running both SpaceX and Tesla is an incredibly difficult ... You realize we’re fighting the incredibly competitive car companies. They make very good cars. They’ve been doing this for a long time. They are entrenched. Mercedes, Audi, BMW, Lexus, you name it. All those car brands. And the history of car companies in America is terrible. The only ones that haven’t gone bankrupt are Tesla and Ford. That’s it. Everyone else has gone bankrupt. "
"So, the pressure of doing this. ",Yes. 
Why is it that you do this?,It’s trivial to start a car company.
Absolutely. ,It is insanely difficult to make it successful. 
"You put too much pressure on yourself this year, or it just is what you’re doing?",It sounds like you’re not hearing me. 
"I’m hearing you. I understand it’s incredibly difficult. What I’m saying is why did you do it this way, this year?",You’re definitely not understanding me.
All right. Try it again. ,"Making a car company successful is monumentally difficult. There have been many attempts to create a car company and they have all failed, even the ones that have had a strong base of customers, thousands of dealers, thousands of service centers, they’ve already spent the capital for the factories, like GM and Chrysler, still went bankrupt in the last recession. Ford and Tesla made it barely through the last recession. There’s a good chance Ford doesn’t make it in the next recession. So, as a startup, a car company, it is far more difficult to be successful than if you’re an established, entrenched brand. It is absurd that Tesla is alive. Absurd! Absurd. "
What do you credit that to?,Excruciating effort. 
By you and —,Hundred-hour weeks by everyone. 
By everyone here at Tesla. ,Yes. There wasn’t some other way to do this. 
That’s what I’m saying —,"There wasn’t some other way to do this, Kara. "
While you’re also running a space company and other ones. ,Yes.
Yes.,Why does Musk push himself so hard?
What I want to get at is why you’re doing that. It’s not a trivial … Why do you think you want to push yourself that hard? ,"Well, the other option would have been, Tesla dies. "
Right.,"Yeah. Tesla cannot die. Tesla is incredibly important for the future of sustainable transport and energy generation. The fundamental purpose, the fundamental good that Tesla provides is accelerating the advent of sustainable transport and energy production. "
"Which I think most people credit you for doing. Pushing everyone else into it at the same time, correct?","Yes. The success of Tesla is, by far, the biggest forcing function for the other car makers to get into —"
100 percent.,Yeah. Into electric cars. They’ve said so. 
"No, there’s no question. I was just having a discussion with someone the other day, and I said, “He has pushed everybody into this, really dramatically. There wouldn’t have been this much investment. There wouldn’t have been this.” ","Yes. It’s very important for the future of the world. It’s very important for all life on Earth. This supersedes political parties, race, creed, religion, it doesn’t matter. If we do not solve the environment, we’re all damned. "
And this way via sustainable transportation.,"Yes. It sort of blows my mind, all these social justice warriors driving around in diesel cars. It’s outrageous. Do you have an electric car?"
I do not. I have a —,Shame on you.
Ford Fiesta. ,Okay.
"I’m trying to get rid of my car, actually. I’m trying to actually get rid of it.t",Sure. I’m shaming you into buying you an electric car. 
"No, I would think, too —",I’m really car-shaming you.
No. I don’t drive my car very much. It sits in the garage. I try not to drive my car at all.,Driving something. 
When you get to this ... You’re doing this to yourself because you think that the world depends ... Not the fate of the world. You’re not a cartoon character. ,"No, I think the electrification of transport, and there’s also an important part of Tesla which is solar and stationary batteries, because you need to generate electricity in a standard, sustainable way with solar and then store it at night when the sun goes down with batteries, and then use that energy from the sun to power cars. Without Tesla, this would still happen. There would still be a transition to sustainable energy, but it would take much longer. History will judge this, obviously, but I would say on the order of 10 years, maybe 20 years."
"So, pushing it forward by that much.","Yes. I think it’s probably fair to say that Tesla has advanced sustainable energy by at least five years, conservatively, and maybe closer to 10, and then if we continue to make progress, we might advance it by 20 years. This could be all the difference in the world. "
"Yes. I think it’s probably fair to say that Tesla has advanced sustainable energy by at least five years, conservatively, and maybe closer to 10, and then if we continue to make progress, we might advance it by 20 years. This could be all the difference in the world. ",The toll on Musk and Tesla’s employees
What is the toll on you? What has been the toll on you and your employees? How do you think about that? ,"It’s been terrible. This year felt like five years of aging, frankly. The worst year of my entire career. Insanely painful."
"Was there any other way to do it? You didn’t think there was any other way to have it happen? Why this year? Why this year, of all the others? Because you’ve been at this for many years.","For this past year, it’s been because of the Model 3 production ramp. Myself and others at Tesla, we had to go in and fix the mistakes in the Model 3 production system, and there were a lot of them. I personally solved a bunch. Jerome [Guillen] solved a bunch. Everyone helped, the entire team. Javier [Verdura], Franz [von Holzhausen], Deepak [Ahuja], everyone. It was ... like, we had the legal team delivering cars in Q3. Todd [Maron] is great. There was a lot of people ... Everyone had to basically go hardcore to solve the ramp. "
To solve this ramp problem. ,"The amount of money that you lose if you don’t solve the ramp is mind-boggling, because you get hit from both sides. Let’s say you’re selling software or something, you don’t —"
"That would be easier, Elon. ","It would be a lot easier. But in software you don’t have a bunch of parts. You don’t have a supply chain. If you don’t sell software, you lose the revenue, but you don’t incur a massive amount of cost associated with producing the software, ’cause you just make copies pretty easily. "
"It would be a lot easier. But in software you don’t have a bunch of parts. You don’t have a supply chain. If you don’t sell software, you lose the revenue, but you don’t incur a massive amount of cost associated with producing the software, ’cause you just make copies pretty easily. ","But for any large, complex, manufactured item, you have an entire supply chain, and that supply chain has on the order of six months of inertia. You place the order for parts for the car, including if you’re all the way with like two or three or four suppliers ... We have on the order of 10,000 suppliers. It’s a crazy number. We have to place the orders for how many cars we think we’re gonna build roughly six months in advance, six months before final assembly, ’cause if you go all the way down the supply chain... "
"But for any large, complex, manufactured item, you have an entire supply chain, and that supply chain has on the order of six months of inertia. You place the order for parts for the car, including if you’re all the way with like two or three or four suppliers ... We have on the order of 10,000 suppliers. It’s a crazy number. We have to place the orders for how many cars we think we’re gonna build roughly six months in advance, six months before final assembly, ’cause if you go all the way down the supply chain... ","Then if you don’t actually make those cars, you still have all the costs. It’s like a flotilla of supertankers. The inertia of that is incredible. If anything happens to stall out the production progress, and that could be any one of those 10,000 suppliers, or on the order of 10,000 internal processes, if any of those is slow or wrong or whatever, you can’t make cars. You only need one missing thing, and whatever the slowest, least lucky part of the production process is, that sets your rate. "
"Then if you don’t actually make those cars, you still have all the costs. It’s like a flotilla of supertankers. The inertia of that is incredible. If anything happens to stall out the production progress, and that could be any one of those 10,000 suppliers, or on the order of 10,000 internal processes, if any of those is slow or wrong or whatever, you can’t make cars. You only need one missing thing, and whatever the slowest, least lucky part of the production process is, that sets your rate. ",Self-inflicted wounds and sleep deprivation
"I want to get into Tesla specifically, and about the recent results, which I think people were surprised by. You surprised Wall Street and some of your competitors. But when you’re thinking about doing this incredibly complex thing, do you regret some of the things you’ve done to slow it down itself? Or was that unavoidable from your perspective? You know, some of your tweets. You attract attention. You really truly do, and some of it is self-inflicted. Do you not see it that way?","Yeah, there’s no question there’s, like, self-inflicted wounds. In fact, my brother said, “Look, if you do a self-inflicted wound, can you at least not twist the knife afterwards?” You stabbed yourself in the leg. You don’t really need to twist it in your leg. Why do that?"
So why do you do that?,It’s not intentional. 
"Well, okay. ","Sometimes you’re just under a lot of pressure, and —"
Your brother is wise.,"You’re not getting much sleep, you’re under massive pressure, and you make mistakes."
Is that over? Do you feel like that’s over? Do you feel calmer now?,It’s totally over. I will never make another mistake again.
"No, I’m teasing you. But how do you ... You look well. You don’t look under a lot of pressure. You seem rested. ","Yeah. Things are back to a hard work schedule, but not an insane work schedule. I was, there were times when, some weeks ... I don’t know. I haven’t counted exactly, but I would just sort of sleep for a few hours, work, sleep for a few hours, work, seven days a week. Some of those days must have been 120 hours, or something nutty. You’re gonna go a little bonkers if you work 120 hours a week. Now we’re down to 80 or 90. It’s pretty manageable."
"And you had talked in the New York Times about using Ambien and stuff like that. That was to regulate your sleep, correct? ",Yeah. It’s not like for fun or something. 
"No, not at all. ","No, it’s just like, if you’re super-stressed, you can’t go to sleep. You either have a choice of, like, okay, I’ll have zero sleep and then my brain won’t work tomorrow, or you’re gonna take some kind of sleep medication to fall asleep. "
"Now you’re to 80 hours, so it’s like totally manageable in that regard. ","Yeah, 80 or 90 ..."
You’re just like a regular lawyer in that regard. What is that? I think I’m about 80. I think I’m probably about —,Yeah. 80 is pretty sustainable. 
Sustainable for you.,Yeah. The pain level for hours increases exponentially. It’s like nonlinear above 80. 
Yeah. The pain level for hours increases exponentially. It’s like nonlinear above 80. ,Tesla’s first profitable quarter in two years
"Let’s talk about Tesla in specific. You turned in a great quarter. These cars are moving off. How do you look at where you’re going with the Model 3 and others? Then I want to get into some of the new features, the navigation features on Autopilot and things like that. How do you look at Tesla right now? I want to first talk about the product, and then talk about the company itself and what you need to move forward. ","I think at Tesla we’re doing pretty well right now. Tesla’s not staring death in the face. We’re in, I think, a pretty good position. We don’t want to be complacent, but it’s not ... Up until around September, we were really faced with, like, “We must solve this or we’re gonna die,” constantly. I feel like we’re no longer in the staring-death-in-the-face situation. "
"What, is death over and sitting in a seat nearby? ","Well, you never want to get complacent, so we still need to work hard, but I think we’re over the hump. We’re certainly over the hump on Model 3 production. For us, making 5,000 cars in a week for Model 3 is not a big deal. That’s just normal. Now we’re working on raising to 6,000 and then 7,000 Model 3s a week, while still keeping costs under control. We could probably do 6,000 or more, maybe 6,500 Model 3s a week right now, but it would have to stress people out and do tons of overtime. "
"What about innovations to these models? We’re not talking about other products coming out, but you put in a number of innovations in all the current models. ","Our cars are constantly being updated with new technology, so we don’t really have a model year like other car companies. As soon as we come up with some improvement, we just roll it into production. "
"Our cars are constantly being updated with new technology, so we don’t really have a model year like other car companies. As soon as we come up with some improvement, we just roll it into production. ",Self-driving cars
Talk about the new navigation feature. ,Drive on Navigation?
Right.,"That’s I think one of the first major steps toward full self-driving. You can enter in an address, and from highway on-ramp to highway off-ramp, the car will change lanes. It will go from one highway to the next automatically, and take off-ramp automatically. It’s pretty wild. It’ll overtake a slow car. It’s basically integrating navigation with the Autopilot capability. That’s why we call it Navigate on Autopilot or Drive on Nav."
"What are the challenges that you face with these technologies now, from your perspective?","Well, the main challenge has been improving the neural net so that we can recognize all types of objects from all eight cameras. There are eight cameras: Three forward, two on each side, and one rear. We’re running essentially eight neural nets of varying complexity. We’ve got to integrate the output of the neural nets into path-planning and then hook in the navigations, say, “Where do you need to go?” The big challenge has been solving a wide range of corner cases. So if you have a —"
These are things that just happen. ,"Yeah, the roads are pretty messy, so you could have, say, skid marks on the road that look like a line. Sometimes tar seams look like a line. Sometimes the lines are just painted wrong, for some reason. One of our biggest challenges, actually, with Drive on Navigation was dealing with forks and gores, where if a lane is splitting, you need to be confident that you’re going either left or right, not down the center. And the car will come to a halt at the first intersection. "
"Yeah, the roads are pretty messy, so you could have, say, skid marks on the road that look like a line. Sometimes tar seams look like a line. Sometimes the lines are just painted wrong, for some reason. One of our biggest challenges, actually, with Drive on Navigation was dealing with forks and gores, where if a lane is splitting, you need to be confident that you’re going either left or right, not down the center. And the car will come to a halt at the first intersection. ","Now we’re integrating stop signs, traffic lights, being able to do, say, hard right turns or hairpin bends and that kind of thing. "
"Now we’re integrating stop signs, traffic lights, being able to do, say, hard right turns or hairpin bends and that kind of thing. ",Government regulation
"What about regulations? The regulatory environment right now? Because that’s gonna be part of it, or else building out infrastructure that will have sensors in roads or things like that? How do you look at that, or you’re just not even thinking about it?","Yeah, we’re not really thinking about it. We’re assuming that there won’t be —"
You’re not assuming.,"No. The car needs to drive better than a human driver using the same inputs as a human driver. Eyes are basically just cameras. All creatures on Earth navigate with cameras. A fish eagle can see a fish from far away and take into account the refractive index of the water, dive down and get the fish from far away. There’s no question that image-recognition neural nets and cameras, you can be superhuman at driving with just cameras. "
"You don’t need anything else, from the government or from infrastructure or anything. I was recently talking to the Mercedes people. They were talking about sensors in the roads.","Yeah, that’s hopeless. That would, at best, be a specialized solution, and whatever city puts stuff in roads ... You can always make something work for a specific solution, like some special-case solution in some town, you can make that easy, but what you really want is a general solution for self-driving that works worldwide. "
"That works worldwide. How do you look at the regulatory environment, because that’s another thing you have to be dealing with? Here in the U.S., in China, wherever else.","I think the key thing for convincing regulators that self-driving is OK is to show billions of miles with a much better statistical significance in safety than human drivers. If the probability of injury is half that of the average human driver, then I think, probably, regulators will support self-driving. But it has to be a very large population. The statistical population of miles has to be very big, like billions, in essentially almost every possible case. "
"How do you assess different countries? This country versus China versus others? Who do you think is more ahead in that, at least helping these things come to fruition?","Again, we’re assuming that’s ... We’re assuming that nothing is done on the road side, but from a regulatory standpoint, I think it’s just gonna be who ... You know, which regulatory agency has the best appreciation of statistics."
And who is that right now?,"Actually, China’s pretty good. I think the U.S. is pretty good."
Any states or the federal? The federal system?,"I hope this is a federal system, because otherwise it’s gonna get weird when you cross state borders, and then you’re in a different situation."
"Suddenly in Arkansas, you can’t drive.","Yeah, I mean especially like in, say, East Coast, you’re going from like, you know, New York, Rhode Island, Massachusetts, New Hampshire. Like you go through like several states pretty quickly, and then you wouldn’t wanna have things be different in each state."
So have you been working with federal regulators — Elaine Chao and ...,"Yeah, not ... Yeah. We certainly have a close relationship with NHTSA, especially, so like the ... You know the sort of hardcore, sort of the entity that really is the hardcore regulator of road transport is NHTSA. NHTSA sort of —"
Is where you’re gonna rely on it.,"Yeah, they’re like the regulator of cars, really."
"Yeah, they’re like the regulator of cars, really.",Tesla’s competitors
"Now other competitors, I’d love you to sort of assess the competitive landscape. Faraday just lost another founder today, which was the hot company, or the allegedly hot company, I think that’s probably easier to say it that way. Lucid got a billion dollars from SoftBank.","Saudi Arabia, not SoftBank."
"And there’s lots of others, but there’s all kinds of things. How do you assess — Google’s working on stuff, Uber still seems to be hanging in there. Or I don’t know what you think about that. I’d love to get your assessment of all of them. Or some of them.","Yeah. I don’t really think that much about competitors. I just say like, you know, how do we make our cars as good as possible? How do we make sure we have like the best engineering and manufacturing talent in the world?"
"Yeah. I don’t really think that much about competitors. I just say like, you know, how do we make our cars as good as possible? How do we make sure we have like the best engineering and manufacturing talent in the world?","You know, Tesla doesn’t do any advertising, or we don’t do any paid endorsements, we don’t sort of haggle for cars or anything like that. So we’re really reliant on the quality of product to sell. And I think it makes sense to sort of put our budget into advancing the technology to make the best possible cars."
Right.,"So, you know that’s ... I’m not sure looking at competitors really helps. It’s sort of like the old adage with, you know, running, you don’t wanna ... If you start looking at the other runners, it’s not good, you know."
Right. ,Like you can lose races because of that.
"Do you think about them? Do you think about them at all? Like Ford or Mercedes or anyone? Or if they’re doing anything that’s interesting, or Google? Which one of them, do you think, is the furthest ahead or closest to you all?","I mean self-driving, maybe Google, Waymo? I don’t think anyone is close to Tesla in terms of achieving a general solution for working on —"
Overall solution.,"Yeah. Yeah. You can definitely make things work like in one particular city or something like that by special-casing it, but in order to work, you know, all around the world in all these different countries where there’s, like, different road signs, different traffic behavior, there’s like every weird corner case you can imagine. You really have to have a generalized solution. And best to my knowledge, no one has a good generalized solution except ... and I think no one is likely to achieve a generalized solution to self-driving before Tesla. I could be surprised, but..."
So none of the car companies. None of the car companies. ,No.
"Do you ever look and go, “Okay, that’s interesting what they’re doing there.”","The other car companies ... I don’t wanna sound overconfident, but I would be very surprised if any of the car companies exceeded Tesla in self-driving, in getting to full self-driving. "
"The other car companies ... I don’t wanna sound overconfident, but I would be very surprised if any of the car companies exceeded Tesla in self-driving, in getting to full self-driving. ","You know, I think we’ll get to full self-driving next year. As a generalized solution, I think. But that’s a ... Like we’re on track to do that next year. So I don’t know. I don’t think anyone else is on track to do it next year."
No one even close. When you look at all the competitors?,"Not that I’m ... I think there’s ... I would say, unless they’re keeping it incredibly secret, which is unlikely, I don’t think any of the car companies are likely to be a serious competitor."
"Will they ever be a serious competitor, from your perspective?","In self-driving, I don’t think so. They’re just not good at software. And this is a software problem."
"Okay. All right, so talk about Tesla ... and then I want to get to SpaceX and other things.","It’s a harder problem, too, on the compute side. But they’re also not doing anything on the compute side."
Right.,So it’s like ... You do need an advanced sort of AI computer that’s very good at doing matrix multiplication with localized memory. So that —
"So they’re missing elements? What you’re saying, the generalized solution?","Yeah, I mean ... you need a specialized inference engine. Like the Tesla hardware 3 Autopilot computer, that will start rolling into production early next year, is 10 times better than the next best system out there at the same price, volume and power consumption. And it’s really because it’s got a dedicated neural net chip. Which basically, it sounds complicated, but it’s really like a matrix multiplier with a local memory."
"So all I’m getting at, is you don’t think any of the rivals will come close. Any of the ones that are touting their solutions?","I would say close to zero percent, probably."
"Okay. All right, that’s not close. That’s not close at all.",Yeah.
Okay.,This is my honest ... This is —
"That’s all right, that’s your answer.","This is just my ... what I think. I mean, I’m not ... it’s not like ... I could be wrong, but this is what I think."
"This is just my ... what I think. I mean, I’m not ... it’s not like ... I could be wrong, but this is what I think.",Why Tesla is not going private after all
"All right. So the challenge you face is financial, though. Getting funding and stuff like that. And you’ve gotten ... Saudis had bought a big bunch of your stock, that’s just separate, they —","They might have sold it, I don’t know."
"Yeah, we don’t know what they have now. But where do you get the money? Talk about the finances of doing this, because that’s what could really hurt you is not having enough capital.","You know ... I mean, as I said earlier this year, I think we will be cash-flow positive for all quarters going forward."
All quarters going forward. So do you need more investment?,No.
Not at all.,I don’t think so.
Do you need to go private? Are you still contemplating that?,"We don’t need to go private, I think I .... going private would ... I think we could execute better if we were private."
Without all the attention?,"Yeah, you know, not to harp on those short-sellers, because people think I have this obsession with them, but I spent like one percent [or] less of time thinking about them —"
"It’s the tweets, Elon. But go ahead.",Less than one percent of my tweets have anything to do with short-sellers.
"You do know when you tweet, it’s louder than other people’s tweets, but go ahead.","Yeah, but if like one in a hundred is about short-sellers, that’s still 1 percent."
"Okay, all right. Okay. All right. Okay.",I think that’s like probably even less than that.
Okay.,"But the issue is that there’s a group of people who are quite smart, very mean, and have a strong financial interest in Tesla’s downfall. "
"But the issue is that there’s a group of people who are quite smart, very mean, and have a strong financial interest in Tesla’s downfall. ","And what that results in is a constant attack on the Tesla brand, on me personally, on the executive team, on our cars. You know, every mistake we make is amplified. And this is not good. So the ... "
"And what that results in is a constant attack on the Tesla brand, on me personally, on the executive team, on our cars. You know, every mistake we make is amplified. And this is not good. So the ... ","You know, the thought about going private was really just saying, okay, if we’re private ... Going private would definitely result in some short-term drama, but if we can avoid the distraction of ... If we can avoid the brand damage of ... Let’s say we’re private, and then we went public five years from now. Then the area under the curve of brand damage by short-sellers would be probably less than the short-term difficulty of going private in the first place. That was the approximate calculus. And then also being public, particularly when everyone at the company’s a shareholder, causes a lot of distraction when the share price moves around a lot."
Right. It just roared upward this week. Or this past week.,"Yeah, yeah. It’s gone up. You know, it tends to end up being like a mood, to some degree, a mood thermometer. So it’s like the stock goes down, people are sad and feel undercompensated. And then when the stock goes up, people are exuberant, overly exuberant, and —"
Normal.,"Yeah, you get distracted thinking about what you’re going to buy."
"Right, right.","So, like, neither of these things are great. When you have big moves in the stock, this just causes a distraction."
"Right. Do you believe you have enough investment? Even if it’s cash-flow positive, you wanna invest more. Correct? Do you believe, do you think you need more investment?",No.
No. That you can do it based on selling these cars?,Yes.
Yes.,"The Tesla Semi, pickup truck and other new products"
"Okay. All right, so last thing on this, on Tesla, these new products. The truck, the Roadster, where are they?","Yeah, I’m super-excited about the future —"
Do you have another thing you’re making?,Ha-ha. We definitely do.
Do you have a vertical lift and takeoff?,"The supersonic VTOL jet, electric jet."
"Yeah. Perhaps a hovercraft like Larry Page, I don’t know.","No, hovercrafts are pretty straightforward."
"Yeah. Okay, sure.",But —
For you.,"A supersonic vertical-takeoff-and-landing electric jet would be interesting to do at some point, I think. But my head would definitely explode if I tried to do that right now."
"Yeah, I think so.",But I’ve been thinking about that design for nine years.
Do you have something special —,Yeah.
"Yeah, such as?",It’s great. 
It’s great? It’s in your head?,Yeah.
"Okay, all right.","I mean, I wrote down some of it, but ... "
But the truck is more immediate?,There were like a few things —
[And] the Roadster?,"Yeah, I think what fires me up about Tesla is, I think we’ve got the most exciting product roadmap of any company in the world."
Okay.,"We’ve got the Model Y, the compact ... midsize, more midsize SUV. The Tesla Semi, which is gonna be great for taking ... Because semis are in constant use and use a tremendous amount of fuel, so the Tesla Semi, I think, can have a huge effect, positive effect on —"
"When do those come online? That was a very dramatic opening of bringing it in, by the way. People are obsessed with your jackets, but it actually was the event that you did, where you showed it off.",Nice jacket.
"Yeah, nice jacket.",“Who are you wearing?”
Were you surprised by that? It was a nice jacket.,"It’s my favorite jacket, actually. I’ve had it for ages."
Okay. But suddenly it was the jacket.,"The reason it looks like ... It looks kind of worn-out, it’s ’cause it is."
Okay. All right.,"It’s not, like, accidentally. It’s that’s how —"
"All right, back to the truck!","All right, yeah. Exactly. Just to recap the things that are coming out, because I think it is ... I think it’s literally the most exciting product lineup of any company in the world. Certainly from a consumer standpoint. I’ll just go through the things that are publicly announced."
"All right, yeah. Exactly. Just to recap the things that are coming out, because I think it is ... I think it’s literally the most exciting product lineup of any company in the world. Certainly from a consumer standpoint. I’ll just go through the things that are publicly announced.","You’ve got the Model Y, which is the midsize SUV. You’ve got the Semi truck, which is, can be great for really heavy transport. It’ll be like the heaviest class of truck, of industrial truck."
"You’ve got the Model Y, which is the midsize SUV. You’ve got the Semi truck, which is, can be great for really heavy transport. It’ll be like the heaviest class of truck, of industrial truck.","We’ve got the next-generation Roadster. Which will be the fastest sports car on every dimension. Fastest acceleration, fastest top speed, best handling. The goal with the Tesla Roadster is to show that an electric car can be the best sports car on every dimension. I think that’s very important to kind of get rid of this, like, halo effect that gasoline cars, sports cars, have —"
"The pickup, or the more-","Well, like let’s say that the fastest, top-speed cars in the world are still gasoline sports cars. So I think we ... It’s important to have an electric sports car that’s faster than the fastest gasoline sports car. And it helps address that halo effect that gasoline sports cars have. So I think it’s important to do that to show that, you know, electric is the best architecture."
"Well, like let’s say that the fastest, top-speed cars in the world are still gasoline sports cars. So I think we ... It’s important to have an electric sports car that’s faster than the fastest gasoline sports car. And it helps address that halo effect that gasoline sports cars have. So I think it’s important to do that to show that, you know, electric is the best architecture.","Then we’ve got the pickup truck, which  — actually, I’m personally most excited about the pickup truck."
Why’s that?,"Well I can’t talk about the details, but it’s gonna be like a really futuristic like cyberpunk, “Blade Runner” pickup truck."
"OK, what does that mean?","It’s gonna be awesome, it’s gonna be amazing."
Who are you trying to sell that to?,"This will be heart-stopping. It stops my heart. It’s like, oh, it’s great."
Who do you wanna sell that to? People that buy F- whatever?,"You know, I actually don’t know if a lot of people will buy this pickup truck or not, but I don’t care."
Okay.,"I mean I do care, eventually, you know. Like sure, I care. We wanna get gasoline, diesel pickup trucks off the road."
Right.,"But if I find, like, you know, I’m personally super-excited by this pickup truck. It’s something I’ve been wanting to make for a long time. And I’ve been iterating sort of designs with Franz ... It’s like I really wanted something that’s like super-futuristic cyberpunk. Which, if it doesn’t ... if I’m weirdly like ... if there’s only a small number of people that like that truck, I guess we’ll make a more conventional truck in the future. But it’s the thing that I am personally most fired up about. It’s gonna have a lot of titanium."
"Titanium, okay. What else?","There’s like, you’ll see. It’s like ..."
"Racing stripes? What, no? I’m teasing, I’m teasing.","No, it’s gonna be ... Like, I think this is the kinda thing the consumer would want to buy, even if they don’t normally buy a pickup truck."
Right.,"So, anyway, that’s personally I’m most excited about. But like I said, it could be just like, okay, I weirdly like it and other people don’t. That’s possible. But we’re gonna make it anyway, and then we will just have a niche audience, I don’t know. But if it does, then we’ll make a more conventional pickup truck."
Do you have a motorcycle?,"No. I rode motorbikes a lot when I was a kid. So I did, like, dirt biking and then rode a motorcycle on the road. And then I almost got killed when I was 17, so ... "
"Yes, I remember.","Yeah. So it’s like I ... You know, most people are paralyzed, but depending on how you count it, the probability of death in a motorcycle versus —"
It’s quite high.,It’s 25 times higher.
"Yeah, my brother is a doctor. He calls them donor-mobiles, actually.",Yeah. Like organ donors. 
"Yeah, that’s exactly why he calls it that.","Yeah, so, the thing is, I rode dirt bikes for six years or more, and did all sorts of crazy jumps and things in the dirt bike, but never got seriously injured. And then —"
But not gonna make one? Not making a Tesla motorcycle?,"Yeah, then I almost got killed ... "
Bad memories.,A truck knocked ... I got hit by a truck.
What about a plane?,Literally got hit by a truck.
